"","X","amt_above_atv10_pred","app_id","assessment","atv","businessLicense","businessScope","businessType","cash","companyCode","companyPhone","crawled_at","credit","emergencyContact","emergencyContactPhone","gmv_amt","gmv_avg","gmv_cnt","gmv_month","gmv_rstd","has_sz","income","income_before_wash","is_assessment_better","is_pop","limit","limit_before_loan","limit_before_loan_fluct","loan_amt","loan_balance","loan_cnt","loan_quality","mainBusiness","max_active_days","max_overdue_amt","max_overdue_amt_p","max_overdue_days","overdue_current","overdue_loan_amt","overdue_loan_amt_p","overdue_loan_cnt","platform","punish_fake_amt","punish_fake_cnt","punish_normal_amt","punish_normal_cnt","punish_serious_amt","punish_serious_cnt","punish_total_amt","punish_total_cnt","punish_wash_amt","punish_wash_cnt","refund_amt","refund_rate","registeredCapital","remDays","shop_type","taxpayerCode","transport_id","weight_account","weight_busi","weight_fluct","weight_loan","weight_refuse","weight_time","target","num"
"205",204,3054.66666667,178096,"9.82",167.25218767,"350205200068480","手机","专营店",0.84,"30305637-8","18559710086","2017-01-22 12:04:18",168370,NA,NA,2759159.34,229929.945,12,14,0.394818384403,"",226846.787066,229901.453733,"True","True",117216.234479,196292.078593,196292.078593,360000,309999.82,2,"True","手机",387,0,0,0,"False",0,0,0,"JINGDONG",0,0,25,5,0,0,25,5,0,0,5023.5,0.0123912818261,"50万元","69
                                                天","SOP",350205303056378,166516,0.95,1,1,1.2,1,1.01205479452,0,1
"206",205,1148333.33333,178097,"9.71",1011.5294628,"350211200108362","母婴","专营店",17.01,"30305502-5","18559710086","2017-01-22 12:06:17",700010,NA,NA,13990464,1165872,12,14,0.916362374888,"",17516.7364166,1165850.06975,"True","True",0,15157.351999,12125.8815992,6e+05,299989.7,2,"True","母婴",387,0,0,0,"False",0,0,0,"JINGDONG",0,0,5,1,0,1,5,2,0,1,5527.5,0.00188101695723,"50万元","69
                                                天","SOP",350211303055025,166516,0.95,1,0.8,1.2,1,1.01205479452,0,1
"207",206,0,177412,"9.73",121.112017002,"440126000573548","珠宝首饰","厂商授权旗舰店",0,"34737998-8","13751830855","2017-01-19 18:43:17",0,NA,NA,313437.9,26119.825,12,14,0.826609522811,"",23507.8425,23507.8425,"True","True",14148.916,18887.7463857,15110.1971085,88005,28120.99,6,"False","珠宝首饰",598,0,0,0,"False",0,0,0,"JINGDONG",0,0,25,1,0,0,25,1,0,0,NA,NA,"100万元","72
                                                天","SOP",440113347379988,166538,0.95,1,0.8,1,1,1.12767123288,0,1
"208",207,8940.54083333,178734,"9.44",37.4876055135,"442000000915187","家装建材","厂商直营旗舰店",0,"08454963-0","13925353103","2017-01-24 19:01:01",0,NA,NA,965493.28,80457.7733333,12,14,0.229688421686,"",71516.1384642,80456.6792975,"True","True",0,57600.3714941,69120.445793,153880,177935.36,6,"True","家装建材",603,0,0,0,"False",0,0,0,"JINGDONG",0,0,2,1,0,0,2,1,0,0,125.9,0.00135976394757,"50万元","67
                                                天","SOP",442000084549630,166559,0.95,1,1.2,1,1,1.1304109589,0,1
"209",208,0,178781,"9.9",702.482587065,"91440606398063377","家装建材","厂商授权旗舰店",NA,"91440606398063377W","13927278883","2017-01-25 09:31:02",NA,NA,NA,141199,35299.75,4,14,1.28038371223,"",31769.775,31769.775,"True","True",0,0,0,0,NA,0,"False","家装建材",146,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,NA,NA,"510万元","66
                                                天","SOP",440681398063377,166700,1.045,1,0.5,1,1,0,0,1
"210",209,0,178863,"9.81",111.952523066,"440301105573877","服饰内衣","厂商授权旗舰店",NA,"58009812-X","13416263384","2017-01-25 22:15:04",NA,NA,NA,315482.21,26290.1841667,12,14,1.37995927306,"",26287.8951943,26287.8951943,"True","True",9493.35119259,18986.7023852,9493.35119259,0,NA,0,"False","服饰内衣",390,0,0,0,"False",0,0,0,"JINGDONG",0,0,1,1,0,0,1,1,0,0,429.03,0.00870656660565,"50万元","66
                                                天","SOP",44030058009812,166742,0.95,1,0.5,1,1,1.01369863014,0,1
"211",210,0,178869,"9.65",235.873517241,"350304100081005","鞋靴","专营店",NA,"315789415-3","0594-3195666","2017-01-25 23:25:00",NA,NA,NA,338985.6,28248.8,12,14,0.52941713645,"",28239.7853371,28239.7853371,"True","True",22755.8511325,22755.8511325,22755.8511325,0,NA,0,"False","鞋靴",604,0,0,0,"False",0,0,0,"JINGDONG",0,0,23,4,0,0,23,4,0,0,526,0.0319116665656,"100万元","66
                                                天","SOP",305304315789413,166745,0.95,1,1,1,1,1.13095890411,0,1
"212",211,NA,179907,"9.52",288.553547088,"140100200647059","酒类","卖场型旗舰店",201.78,"09624816-5","13546336642","2017-02-07 11:46:58",0,NA,NA,1744473.7,145372.808333,12,14,0.279926062078,"",145368.563187,145368.563187,"True","True",33380.2108249,116174.373864,139409.248637,137595,282124.13,6,"False","酒类",587,0,0,0,"False",0,0,0,"JINGDONG",0,0,16,4,0,0,16,4,0,0,326,0.00292017879377,"110万元","53
                                                天","SOP",140105096248165,166766,0.95,1,1.2,1,1,1.12164383562,0,1
"213",212,0,180078,"",68.5092592593,"371402200012078","服饰内衣","厂商直营旗舰店",NA,"09171454-2","18253402727","2017-02-07 17:45:06",NA,NA,NA,1849.75,264.25,7,14,1.34834680965,"",237.825,237.825,"","True",64.0893579195,128.178715839,64.0893579195,0,NA,0,"False","服饰内衣",251,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,NA,NA,"50万元","53
                                                天","SOP",371402091714542,166769,1.045,1,0.5,1,1,0.687671232877,0,1
"214",213,8940.54083333,178734,"9.44",37.4876055135,"442000000915187","家装建材","厂商直营旗舰店",0,"08454963-0","13925353103","2017-01-24 19:01:01",0,NA,NA,965493.28,80457.7733333,12,14,0.229688421686,"",71516.1384642,80456.6792975,"True","True",0,57600.3714941,69120.445793,153880,177935.36,6,"True","家装建材",603,0,0,0,"False",0,0,0,"JINGDONG",0,0,2,1,0,0,2,1,0,0,125.9,0.00135976394757,"50万元","67
                                                天","SOP",442000084549630,166786,0.95,1,1.2,1,1,1.1304109589,0,1
